Energy_eV PDF
3.607080543799439511e+03 3.898580423713385613e-06
3.708342923281480580e+03 4.751323636101459637e-06
3.812448064208364485e+03 4.953632767454554573e-06
3.919475772058434814e+03 4.477511189049279260e-06
4.029508092707086689e+03 5.439973696182142458e-06
4.142629375321936095e+03 5.035548708523523517e-06
4.258926337023664018e+03 5.606592511863905284e-06
4.378488129362096515e+03 5.592242620215793106e-06
4.501406406658465130e+03 6.233447182446627507e-06
4.627775396266279131e+03 6.442305523545606903e-06
4.757691970804633456e+03 6.322516850267011844e-06
4.891255722419339691e+03 6.744474493815993512e-06
5.028569039128818986e+03 7.041876508110393157e-06
5.169737183313243804e+03 7.732322243445287729e-06
5.314868372407142488e+03 7.574191676224698492e-06
5.464073861857312295e+03 8.254566618239806414e-06
5.617468030409612766e+03 8.642388960910009230e-06
5.775168467790033901e+03 8.665088051073640424e-06
5.937296064847259004e+03 9.324167914894883417e-06
6.103975106225829222e+03 1.025398706581649951e-05
6.275333365640935881e+03 9.312584474966395775e-06
6.451502203827873927e+03 1.118920926793615628e-05
6.632616669241254385e+03 1.106591958270119197e-05
6.818815601581189185e+03 1.120059276067277536e-05
7.010241738225773588e+03 1.173122605847656434e-05
7.207041823651463346e+03 1.248740602411164986e-05
7.409366721925238380e+03 1.382374961999686205e-05
7.617371532354805822e+03 1.363414441519316788e-05
7.831215708385459038e+03 1.415666464008424079e-05
8.051063179834752191e+03 1.634375762507964569e-05
8.277082478558695584e+03 1.559719164370223330e-05
8.509446867645805469e+03 1.741186158775291805e-05
8.748334474238075927e+03 1.780569952176018825e-05
8.993928426080638019e+03 1.793682153558228499e-05
9.246416991904785391e+03 1.947018570984758361e-05
9.505993725752043247e+03 2.026116511386583544e-05
9.772857615349876141e+03 2.091645736902361636e-05
1.004721323465277601e+04 2.243658311780714966e-05
1.032927090066562050e+04 2.336008401034838760e-05
1.061924683466964416e+04 2.491355219639311691e-05
1.091736332797452633e+04 2.581731407973186448e-05
1.122384891232362861e+04 2.687196578734055388e-05
1.153893853508309985e+04 2.816711203518068631e-05
1.186287373934908828e+04 2.976346673475046395e-05
1.219590284911113486e+04 3.061902739779089711e-05
1.253828115961372532e+04 3.416911361868707459e-05
1.289027113306188767e+04 3.246456167994037810e-05
1.325214259982086878e+04 3.525165227642297698e-05
1.362417296526417886e+04 3.691856243726004933e-05
1.400664742242845568e+04 3.836934308671710847e-05
1.439985917063829402e+04 4.014606389738805699e-05
1.480410964026856891e+04 4.356933267665478115e-05
1.521970872381650406e+04 4.417611325772449326e-05
1.564697501346077115e+04 4.672470946441186266e-05
1.608623604528961914e+04 4.947828589592042541e-05
1.653782855038517664e+04 5.007764498769614800e-05
1.700209871295660560e+04 5.597496421634305685e-05
1.747940243571989413e+04 5.561654357221950719e-05
1.797010561272761697e+04 5.678401593456549278e-05
1.847458440985799825e+04 6.053167369771050643e-05
1.899322555317816659e+04 6.396038376603097497e-05
1.952642662540265883e+04 6.624866042799872675e-05
2.007459637067456060e+04 7.217467953385388682e-05
2.063815500790279475e+04 7.343830880297509071e-05
2.121753455289573321e+04 7.709165974914718427e-05
2.181317914953827858e+04 8.054639923073128940e-05
2.242554541026601873e+04 8.433650126143180375e-05
2.305510276609763969e+04 8.746837801403796930e-05
2.370233382649390842e+04 9.230409077978004445e-05
2.436773474931897363e+04 9.680049266786946733e-05
2.505181562118777219e+04 1.016217549273421646e-04
2.575510084849095801e+04 1.059288404658607051e-04
2.647812955939713720e+04 1.106549173526052705e-04
2.722145601714072836e+04 1.166101637317738495e-04
2.798565004491195941e+04 1.220701918278735881e-04
2.877129746267502196e+04 1.283601829888968463e-04
2.957900053624908833e+04 1.330380930734765339e-04
3.040937843899650761e+04 1.393610698287176875e-04
3.126306772647195976e+04 1.462794718985747954e-04
3.214072282439672563e+04 1.531947358700054985e-04
3.304301653033182811e+04 1.602040044512879706e-04
3.397064052943479328e+04 1.680975723796371225e-04
3.492430592469546536e+04 1.758636992515963838e-04
3.590474378205703397e+04 1.832719862948701986e-04
3.691270569084057206e+04 1.921069394852171271e-04
3.794896433990241349e+04 2.020099012372178395e-04
3.901431410996604245e+04 2.113058609534406850e-04
4.010957168258282036e+04 2.217229699400244186e-04
4.123557666618812073e+04 2.320094712649633129e-04
4.239319223973280168e+04 2.440363919922142882e-04
4.358330581438369700e+04 2.548554357957340927e-04
4.480682971379991795e+04 2.669742095918519126e-04
4.606470187350687047e+04 2.785290669560474392e-04
4.735788655990388361e+04 2.921574345439716352e-04
4.868737510945681424e+04 3.051554232276763629e-04
5.005418668864191568e+04 3.182090747894494431e-04
5.145936907522410183e+04 3.338280848678116608e-04
5.290399946146800357e+04 3.496859798634862726e-04
5.438918527989773429e+04 3.660151195995906730e-04
5.591606505223867862e+04 3.827275239056579211e-04
5.748580926219136745e+04 3.997228835886234709e-04
5.909962125270726392e+04 4.172502833310561313e-04
6.075873814845390734e+04 4.391549825632641807e-04
6.246443180417641997e+04 4.598446462563872687e-04
6.421800977968290681e+04 4.821862312777016419e-04
6.602081634220067644e+04 5.050713669928123904e-04
6.787423349687168957e+04 5.280114366628430337e-04
6.977968204617773881e+04 5.540560645427424977e-04
7.173862267910665832e+04 5.793907916698438779e-04
7.375255709089516313e+04 6.091702086766752474e-04
7.582302913420650293e+04 6.362678808972069971e-04
7.795162600262532942e+04 6.650851982518503130e-04
8.013997944737697253e+04 6.955932036356081514e-04
8.238976702820416540e+04 7.269998695647092836e-04
8.470271339935983997e+04 7.633996913880978152e-04
8.708059163170165266e+04 7.983495667579465190e-04
8.952522457190253772e+04 8.375813793672985371e-04
