------ SIMULAZIONE DEL 24/03/2026 ALLE ORE 18:59 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_MAX     Arricch_min     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        10.00          10             350          600          1.05145      0.00013     0.97547     0.00020     319.05594   
101325.0    3.551       0.15        10.00          10             350          600          1.05182      0.00014     0.97547     0.00020     312.28046   
101325.0    3.551       0.15        10.00          10             350          600          1.05196      0.00014     0.97547     0.00020     316.89903   
101325.0    3.551       0.15        10.00          10             350          600          1.05162      0.00015     0.97547     0.00020     302.28000   
101325.0    3.551       0.15        10.00          10             350          600          1.05173      0.00014     0.97547     0.00020     312.89172   
101325.0    3.551       0.15        10.00          10             350          600          1.05144      0.00014     0.97547     0.00020     309.38569   
101325.0    3.551       0.15        10.00          10             350          600          1.05148      0.00011     0.97547     0.00020     332.85328   
101325.0    3.551       0.15        10.00          10             350          600          1.05177      0.00014     0.97547     0.00020     316.07332   
101325.0    3.551       0.15        10.00          10             350          600          1.05175      0.00015     0.97547     0.00020     305.01324   
101325.0    3.551       0.15        10.00          10             350          600          1.05189      0.00013     0.97547     0.00020     318.36259   
101325.0    3.551       0.15        10.00          10             350          600          1.05155      0.00014     0.97547     0.00020     314.76984   
101325.0    3.551       0.15        10.00          10             350          600          1.05169      0.00013     0.97547     0.00020     317.43875   
101325.0    3.551       0.15        10.00          10             350          600          1.05150      0.00013     0.97547     0.00020     318.02287   
101325.0    3.551       0.15        10.00          10             350          600          1.05167      0.00014     0.97547     0.00020     315.66139   
101325.0    3.551       0.15        10.00          10             350          600          1.05188      0.00015     0.97547     0.00020     304.79274   
101325.0    3.551       0.15        15.50          11             350          600          1.07736      0.00014     0.97547     0.00020     415.98407   
101325.0    3.551       0.15        13.25          11             350          600          1.07020      0.00014     0.97547     0.00020     390.71798   
101325.0    3.551       0.15        12.12          11             350          600          1.06626      0.00014     0.97547     0.00020     371.19261   
